originnum,destnum,origin,destination,cluster,logprob,originlon,originlat,destlon,destlat
51,52,MCI,MCO,4,1.0,-94.713898,39.2976,-81.30899810791016,28.429399490356445
52,2,MCO,ALB,4,1.0,-81.30899810791016,28.429399490356445,-73.80169677734375,42.74829864501953
52,3,MCO,ATL,1,1.0,-81.30899810791016,28.429399490356445,-84.428101,33.6367
52,4,MCO,AUS,1,0.9999999999637492,-81.30899810791016,28.429399490356445,-97.662015,30.197535
52,5,MCO,BDL,4,1.0,-81.30899810791016,28.429399490356445,-72.688066,41.93851
52,6,MCO,BFM,4,0.9966320104056791,-81.30899810791016,28.429399490356445,-88.06809997559999,30.626800537100003
52,10,MCO,BMI,5,0.9997908296326774,-81.30899810791016,28.429399490356445,-88.915901,40.4771
52,11,MCO,BNA,1,0.9999999999999315,-81.30899810791016,28.429399490356445,-86.6782,36.1245
52,12,MCO,BOS,4,1.0,-81.30899810791016,28.429399490356445,-71.0079,42.36197
52,13,MCO,BTV,4,0.9999999999999564,-81.30899810791016,28.429399490356445,-73.153297,44.471901
52,14,MCO,BUF,4,1.0,-81.30899810791016,28.429399490356445,-78.732201,42.940498
52,15,MCO,BWI,4,1.0,-81.30899810791016,28.429399490356445,-76.668297,39.1754
52,19,MCO,CLE,4,1.0,-81.30899810791016,28.429399490356445,-81.8498,41.411701
52,20,MCO,CLT,1,0.9999999996077699,-81.30899810791016,28.429399490356445,-80.94309997558594,35.2140007019043
