,home,away,hometeam,awayteam
925,39,37,11,8
926,45,25,15,14
927,32,28,21,26
928,34,30,7,12
929,20,31,29,27
930,37,25,10,25
931,24,34,13,18
932,23,33,4,24
933,25,29,9,5
934,23,35,3,6
935,27,26,16,23
936,34,27,20,2
937,25,23,11,15
938,23,34,17,22
939,33,22,21,14
940,25,37,25,19
941,29,32,30,28
942,20,33,7,23
943,35,33,27,12
944,25,23,10,13
945,29,36,4,22
946,40,28,1,25
947,32,26,3,2
948,27,30,16,20
949,32,22,5,24
950,35,29,21,29
951,32,20,8,15
952,30,24,10,19
953,36,33,26,13
954,26,28,14,18
955,24,35,30,28
956,31,27,6,9
957,29,28,16,1
958,23,41,27,11
959,27,24,17,23
960,35,28,26,18
961,23,37,7,24
962,35,32,5,12
963,31,18,14,10
964,24,25,2,4
965,31,23,22,25
966,39,32,11,27
967,30,32,21,29
968,22,32,3,20
969,33,32,13,15
970,31,26,6,3
971,38,32,12,23
972,38,17,30,17
973,25,42,16,1
974,30,33,8,28
975,31,32,26,19
976,30,23,9,25
977,41,36,22,17
978,27,30,20,4
979,23,25,18,23
980,29,25,11,2
981,33,27,21,10
982,23,26,7,29
983,34,27,14,15
984,35,33,30,1
985,24,19,3,25
986,27,30,16,6
987,29,22,19,7
988,22,38,8,5
989,29,18,24,21
990,33,24,13,28
991,33,35,9,4
992,30,43,12,11
993,28,36,22,29
994,25,27,17,2
995,32,21,15,10
996,34,29,26,20
997,32,27,23,25
998,36,27,30,1
999,28,22,16,6
1000,39,26,18,2
1001,38,31,27,8
1002,32,36,14,28
1003,32,25,13,20
1004,23,37,4,29
1005,32,34,9,12
1006,35,31,22,16
1007,40,32,1,3
1008,25,29,11,5
1009,31,24,15,7
1010,22,28,19,21
1011,23,22,10,17
1012,31,26,24,26
1013,33,25,8,2
1014,31,34,4,6
1015,30,28,23,30
1016,24,33,19,25
1017,23,26,27,21
1018,31,31,14,20
1019,34,26,9,12
1020,40,42,1,18
1021,23,27,16,29
1022,23,26,7,15
1023,29,27,11,3
1024,26,42,10,24
1025,25,35,26,17
1026,37,31,4,6
1027,37,28,30,9
1028,37,36,28,8
1029,31,22,19,14
1030,34,23,21,2
1031,26,34,27,22
1032,33,28,24,17
1033,21,27,25,20
1034,26,22,6,23
1035,36,28,16,15
1036,22,20,5,26
1037,39,23,11,14
1038,25,22,18,3
1039,34,27,27,7
1040,30,32,13,10
1041,27,39,9,8
1042,19,19,2,26
1043,33,27,28,21
1044,36,32,17,12
1045,30,35,24,22
1046,24,36,4,23
1047,31,36,1,10
1048,44,27,6,30
1049,40,28,5,18
1050,32,27,11,19
1051,19,35,27,15
1052,24,26,25,3
1053,38,24,14,7
1054,32,31,20,8
1055,36,32,13,22
1056,33,39,12,23
1057,39,34,28,18
1058,28,26,30,26
1059,28,25,5,16
1060,34,26,15,10
1061,25,20,29,3
1062,26,30,2,8
1063,31,29,21,24
1064,37,43,27,1
1065,28,25,9,16
1066,22,29,11,19
1067,27,30,17,28
1068,31,31,25,13
1069,23,31,14,22
1070,31,28,4,12
1071,28,32,23,5
1072,34,37,20,18
1073,29,27,11,10
1074,31,28,15,7
1075,30,22,29,26
1076,31,32,22,30
1077,30,24,1,9
1078,32,28,2,6
1079,35,17,19,27
1080,22,31,26,3
1081,35,29,13,21
1082,40,27,30,8
1083,29,26,16,20
1084,32,32,28,12
1085,27,38,7,10
1086,28,23,5,23
1087,33,36,15,11
1088,36,27,17,27
1089,34,33,18,1
1090,28,32,29,25
1091,31,30,14,24
1092,27,25,22,20
1093,27,30,2,6
1094,34,29,19,4
1095,29,28,13,21
1096,26,35,3,12
1097,36,38,30,27
1098,28,28,28,9
1099,32,40,15,11
1100,32,32,7,4
1101,29,33,29,17
1102,24,30,10,23
1103,31,31,25,5
1104,34,39,26,24
1105,30,26,14,21
1106,38,38,1,12
1107,26,26,16,2
1108,32,30,8,17
1109,32,21,24,23
1110,28,38,26,29
1111,24,30,13,19
1112,27,13,4,7
1113,25,33,14,5
1114,38,35,1,15
1115,34,28,3,27
1116,30,29,6,11
1117,38,29,22,2
1118,34,22,28,30
1119,25,29,25,21
1120,19,17,10,18
1121,34,31,9,17
1122,31,29,12,7
1123,33,35,20,11
1124,29,32,29,24
1125,32,35,8,23
1126,28,37,25,19
1127,34,35,26,18
1128,28,35,13,5
1129,41,34,30,3
1130,29,38,1,6
1131,37,22,28,16
1132,30,27,15,22
1133,39,38,21,4
1134,25,30,10,19
1135,39,48,12,17
1136,27,37,2,11
1137,25,22,20,16
1138,20,20,23,7
1139,36,38,5,14
1140,38,26,15,13
1141,29,24,21,9
1142,35,37,27,29
1143,34,28,24,18
1144,21,24,25,26
1145,24,29,17,3
1146,28,25,8,19
1147,21,32,4,5
1148,33,38,12,21
1149,29,34,23,28
1150,24,36,30,22
1151,25,37,3,29
1152,34,31,2,1
1153,27,32,6,20
1154,27,32,11,9
1155,34,23,15,13
1156,28,36,18,14
1157,26,27,10,27
1158,21,35,25,26
1159,27,32,24,8
1160,32,33,16,7
1161,35,31,19,13
1162,27,48,4,28
1163,29,32,2,29
1164,41,20,5,15
1165,27,34,18,25
1166,39,39,1,7
1167,33,23,20,30
1168,26,23,22,9
1169,38,39,26,27
1170,31,43,11,14
1171,25,33,21,24
1172,35,27,6,12
1173,36,28,17,23
1174,35,33,8,10
1175,24,27,4,28
1176,25,28,9,16
1177,35,27,22,6
1178,37,27,30,17
1179,26,33,2,18
1180,28,23,23,3
1181,34,38,5,1
1182,35,30,11,8
1183,24,28,15,25
1184,30,29,19,26
1185,32,36,29,14
1186,27,33,10,21
1187,33,22,24,27
1188,28,28,9,2
1189,30,34,12,20
1190,30,39,1,30
1191,27,31,3,28
1192,21,25,17,5
1193,23,38,19,15
1194,24,34,7,26
1195,27,33,13,14
1196,20,28,22,6
1197,29,31,23,16
1198,37,41,27,25
1199,36,24,29,21
1200,24,36,24,8
1201,25,35,4,11
1202,30,31,12,9
1203,32,28,30,16
1204,41,40,1,23
1205,30,31,3,28
1206,26,24,2,22
1207,21,33,17,15
1208,32,24,19,20
1209,24,35,7,5
1210,27,25,26,10
1211,27,34,14,24
1212,33,26,29,8
1213,37,32,27,18
1214,37,33,13,25
1215,17,33,3,1
1216,23,39,2,23
1217,25,31,6,4
1218,27,21,16,22
1219,37,27,20,12
1220,37,26,28,17
1221,27,38,30,11
1222,34,22,5,9
1223,29,36,7,27
1224,26,37,18,19
1225,33,33,21,15
1226,35,26,8,26
1227,29,41,14,29
1228,28,44,24,13
1229,29,31,25,10
